,time,wait,com
2018-10-01 08:48:00,1538354880000,1715,1715
2018-10-01 08:49:00,1538354940000,1508,1379
2018-10-01 08:50:00,1538355000000,1790,1790
2018-10-01 08:51:00,1538355060000,2246,2246
2018-10-01 08:52:00,1538355120000,2184,2184
2018-10-01 08:53:00,1538355180000,3403,3403
2018-10-01 08:54:00,1538355240000,1043,1043
2018-10-01 08:55:00,1538355300000,2027,2027
2018-10-01 08:56:00,1538355360000,1066,1066
2018-10-01 08:57:00,1538355420000,2744,2744
2018-10-01 08:58:00,1538355480000,957,1305
2018-10-01 08:59:00,1538355540000,1090,1090
2018-10-01 09:00:00,1538355600000,1198,1198
2018-10-01 09:01:00,1538355660000,1130,1130
2018-10-01 09:02:00,1538355720000,1537,1537
2018-10-01 09:03:00,1538355780000,1526,1526
2018-10-01 09:04:00,1538355840000,711,2635
2018-10-01 09:05:00,1538355900000,1022,1022
2018-10-01 09:06:00,1538355960000,3787,3787
2018-10-01 09:07:00,1538356020000,1789,1789
2018-10-01 09:08:00,1538356080000,1799,1799
2018-10-01 09:09:00,1538356140000,2480,2480
2018-10-01 09:10:00,1538356200000,427,2891
2018-10-01 09:11:00,1538356260000,1685,1685
2018-10-01 09:12:00,1538356320000,1341,1341
2018-10-01 09:13:00,1538356380000,3026,3026
2018-10-01 09:14:00,1538356440000,2761,1396
2018-10-01 09:15:00,1538356500000,2741,1511
2018-10-01 09:16:00,1538356560000,4166,1697
2018-10-01 09:17:00,1538356620000,2463,1580
2018-10-01 09:18:00,1538356680000,2697,2697
2018-10-01 09:19:00,1538356740000,5121,1315
2018-10-01 09:20:00,1538356800000,2280,1797
2018-10-01 09:21:00,1538356860000,2564,2028
2018-10-01 09:22:00,1538356920000,2656,2656
2018-10-01 09:23:00,1538356980000,2554,1647
2018-10-01 09:24:00,1538357040000,3050,3050
2018-10-01 09:25:00,1538357100000,0,1000
2018-10-01 09:26:00,1538357160000,4260,4260
2018-10-01 09:27:00,1538357220000,2985,2985
2018-10-01 09:28:00,1538357280000,1360,1360
2018-10-01 09:29:00,1538357340000,1341,1341
2018-10-01 09:30:00,1538357400000,1549,1549
2018-10-01 09:31:00,1538357460000,1616,1616
2018-10-01 09:32:00,1538357520000,1836,1031
2018-10-01 09:33:00,1538357580000,1963,1963
2018-10-01 09:34:00,1538357640000,1243,1243
2018-10-01 09:35:00,1538357700000,1185,1185
2018-10-01 09:36:00,1538357760000,2719,2719
2018-10-01 09:37:00,1538357820000,1037,1037
2018-10-01 09:38:00,1538357880000,1448,1448
2018-10-01 09:39:00,1538357940000,1323,1323
2018-10-01 09:40:00,1538358000000,2096,2096
2018-10-01 09:41:00,1538358060000,1941,1941
2018-10-01 09:42:00,1538358120000,589,1538
